"Part";"Value";"Device";"Package";"Description";"DATASHEET_LINK";"LED_COLOR";"MANUFACTURER";"MANUFACTURER_PN";"PACKAGE";"SUPPLIER";"SUPPLIER_PN";
"R17";"330kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R18";"120kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R19";"56kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R20";"180kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R21";"120kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R22";"1.2kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R23";"150Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R24";"150Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R25";"1.2kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R26";"150Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R27";"1.2kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R28";"150Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R29";"1.2kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R30";"150Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
