"Part";"Value";"Device";"Package";"Description";"DATASHEET_LINK";"LED_COLOR";"MANUFACTURER";"MANUFACTURER_PN";"PACKAGE";"SUPPLIER";"SUPPLIER_PN";
"TP19";"SPARK_E";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP20";"ECT_FIL";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP21";"IAT";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP22";"IAT_FIL";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP23";"MAP";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP24";"MAP_FIL";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP25";"O2";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP26";"O2_FIL";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP27";"TPS";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP28";"TPS_FIL";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP36";"MOSI_5V";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP37";"SCK_5V";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP38";"MISO_5V";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP39";"CS1_5V";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP44";"CANH";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP45";"CANL";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP46";"CAN_TX";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP47";"CAN_RX";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP48";"SPARK_LED";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
